Time [s];	Voltage [V];	Current [A]
+5.3599999999999994E+01;	+4.0672112220526202E+00;	+1.0002100837822809E+00
+5.3799999999999997E+01;	+4.0672924325712883E+00;	+1.0002096870959825E+00
+5.4000000000000000E+01;	+4.0673786070580897E+00;	+1.0002098854391317E+00
+5.4200000000000003E+01;	+4.0674659728972440E+00;	+1.0002102821254304E+00
+5.4399999999999999E+01;	+4.0675503603555176E+00;	+1.0002083482797250E+00
+5.4599999999999994E+01;	+4.0676327622265376E+00;	+1.0002077532502773E+00
+5.4799999999999997E+01;	+4.0677169511260862E+00;	+1.0002089928949600E+00
+5.5000000000000000E+01;	+4.0677995515558303E+00;	+1.0002070590492549E+00
+5.5200000000000003E+01;	+4.0678829462204780E+00;	+1.0002077036644899E+00
+5.5399999999999999E+01;	+4.0679633625042442E+00;	+1.0002078524218518E+00
+5.5600000000000001E+01;	+4.0680461614927141E+00;	+1.0002066623629564E+00
+5.5799999999999997E+01;	+4.0681372999476499E+00;	+1.0002106788117289E+00
+5.6000000000000000E+01;	+4.0682109652347558E+00;	+1.0002063648482327E+00
+5.6199999999999996E+01;	+4.0682969411628322E+00;	+1.0002080507650011E+00
+5.6400000000000006E+01;	+4.0683759675355207E+00;	+1.0002066623629562E+00
+5.6600000000000001E+01;	+4.0684545967907590E+00;	+1.0002096870959827E+00
+5.6799999999999997E+01;	+4.0685369986617790E+00;	+1.0002081003507886E+00
+5.7000000000000000E+01;	+4.0686162235931933E+00;	+1.0002084474512996E+00
+5.7200000000000003E+01;	+4.0686984269054873E+00;	+1.0002091912381095E+00
+5.7399999999999999E+01;	+4.0687689152529867E+00;	+1.0002072078066169E+00
+5.7599999999999994E+01;	+4.0688531041525353E+00;	+1.0002065631913817E+00
+5.7799999999999997E+01;	+4.0689283579094431E+00;	+1.0002066623629562E+00
+5.8000000000000000E+01;	+4.0690038102250758E+00;	+1.0002068607061056E+00
+5.8200000000000003E+01;	+4.0690881976833486E+00;	+1.0002058689903592E+00
+5.8399999999999999E+01;	+4.0691642456751582E+00;	+1.0002055714756353E+00
+5.8600000000000001E+01;	+4.0692377124035373E+00;	+1.0002062656766577E+00
+5.8799999999999997E+01;	+4.0693129661604450E+00;	+1.0002070094634676E+00
+5.9000000000000000E+01;	+4.0693955665901891E+00;	+1.0002063648482324E+00
+5.9199999999999996E+01;	+4.0694676434074921E+00;	+1.0002061665050832E+00
+5.9400000000000006E+01;	+4.0695450813103786E+00;	+1.0002069598776802E+00
+5.9600000000000001E+01;	+4.0696258947115957E+00;	+1.0002066127771689E+00
+5.9799999999999997E+01;	+4.0697049210842851E+00;	+1.0002074061497661E+00
+6.0000000000000000E+01;	+4.0697821604284456E+00;	+1.0002078028360646E+00
+6.0200000000000003E+01;	+3.9993885254413661E+00;	+0.0000000000000000E+00
+6.0399999999999999E+01;	+3.9987912607955143E+00;	+0.0000000000000000E+00
+6.0600000000000001E+01;	+3.9983858038783509E+00;	+0.0000000000000000E+00
+6.0799999999999997E+01;	+3.9980649329781861E+00;	+0.0000000000000000E+00
+6.1000000000000000E+01;	+3.9977915176133796E+00;	+0.0000000000000000E+00
+6.1200000000000003E+01;	+3.9975580125523691E+00;	+0.0000000000000000E+00
+6.1399999999999999E+01;	+3.9973481359796743E+00;	+0.0000000000000000E+00
+6.1600000000000001E+01;	+3.9971523570764802E+00;	+0.0000000000000000E+00
+6.1799999999999997E+01;	+3.9969718671951373E+00;	+0.0000000000000000E+00
+6.2000000000000000E+01;	+3.9967961427232033E+00;	+0.0000000000000000E+00
+6.2200000000000003E+01;	+3.9966351115969450E+00;	+0.0000000000000000E+00
+6.2399999999999999E+01;	+3.9964760660579395E+00;	+0.0000000000000000E+00
+6.2600000000000001E+01;	+3.9963392590961742E+00;	+0.0000000000000000E+00
+6.2799999999999997E+01;	+3.9962014593407815E+00;	+0.0000000000000000E+00
+6.3000000000000000E+01;	+3.9960696163471492E+00;	+0.0000000000000000E+00
+6.3200000000000003E+01;	+3.9959427373216507E+00;	+0.0000000000000000E+00
+6.3399999999999999E+01;	+3.9958202265881102E+00;	+0.0000000000000000E+00
+6.3600000000000001E+01;	+3.9957070481146615E+00;	+0.0000000000000000E+00
+6.3799999999999997E+01;	+3.9955954581110142E+00;	+0.0000000000000000E+00
+6.4000000000000000E+01;	+3.9954794998154104E+00;	+0.0000000000000000E+00
+6.4200000000000003E+01;	+3.9953742636909753E+00;	+0.0000000000000000E+00
+6.4400000000000006E+01;	+3.9952676376554628E+00;	+0.0000000000000000E+00
+6.4599999999999994E+01;	+3.9951614087374003E+00;	+0.0000000000000000E+00
+6.4799999999999997E+01;	+3.9950657034317825E+00;	+0.0000000000000000E+00
+6.5000000000000000E+01;	+3.9949699981261637E+00;	+0.0000000000000000E+00
+6.5200000000000003E+01;	+3.9948752856141723E+00;	+0.0000000000000000E+00
+6.5400000000000006E+01;	+3.9947768004863988E+00;	+0.0000000000000000E+00
+6.5599999999999994E+01;	+3.9946864562663644E+00;	+0.0000000000000000E+00
+6.5799999999999997E+01;	+3.9945961120463309E+00;	+0.0000000000000000E+00
